100,0,0,0,0,0,0,0,0,0,
99.9094,0.1,0.0,0.0,0.0,0.0,0.0,0.00024,1.24e-05,0.00024,
99.8188906,0.1998494,6e-05,0.0,0.0,0.0,0.0,0.00039264,2.48e-05,0.00048,
99.7284717094,0.29954838096,0.0001799034,6.24e-09,0.0,0.0,0.0,0.00048971904,3.72e-05,0.00072,
99.6381432377,0.399097123641,0.000359613718622,2.41137936e-08,8.3616e-10,0.0,0.0,0.00055146130944,4.96e-05,0.00096,
99.5479050945,0.498495808604,0.00059903459298,5.82823719943e-08,4.061354544e-09,6.0537984e-12,0.0,0.000590729392804,6.19999939462e-05,0.0012,
99.4577571894,0.597744616214,0.000898069778545,1.12772131817e-07,1.18417881843e-08,3.54543730195e-11,3.63227904e-15,0.000615703893823,7.4399964542e-05,0.00144,
99.3676994322,0.696843726633,0.00125662314902,1.91059923122e-07,2.68675193014e-08,1.2116764685e-10,2.49049028517e-14,0.000631587676472,8.67998788074e-05,0.00167999999998,
99.2777317327,0.795793319829,0.00167459869619,2.96146700922e-07,5.227502816e-08,3.15615786004e-10,9.76054909619e-14,0.000641689762236,9.91996842866e-05,0.0019199999999,
99.187854001,0.89459357557,0.00215190052982,4.30621307402e-07,9.15802148796e-08,6.93897620411e-10,2.86974962564e-13,0.000648114688782,0.000111599305815,0.00215999999971,
99.098066147,0.993244673426,0.00268843287751,5.96715707311e-07,1.48620429316e-07,1.35652203757e-09,7.03313534811e-13,0.000652200942065,0.000123998642775,0.0023999999993,
99.0083680809,1.09174679277,0.00328410008455,7.96352821793e-07,2.27504322187e-07,2.43172003259e-09,1.51722675735e-12,0.000654799799154,0.000136397566763,0.00263999999848,
98.9187597128,1.19010011277,0.0039388066138,1.03118795247e-06,3.32568469015e-07,4.07739229321e-09,2.97625877691e-12,0.000656452672262,0.000148795919631,0.00287999999702,
98.8292409531,1.28830481242,0.00465245704557,1.30264465467e-06,4.68339858929e-07,6.4827415735e-09,5.42269415283e-12,0.000657503899558,0.000161193511836,0.00311999999458,
98.7398117121,1.38636107048,0.00542495607749,1.61194580368e-06,6.39503462077e-07,9.8696325072e-09,9.31233909693e-12,0.000658172480119,0.000173590121055,0.00335999999069,
98.6504719004,1.48426906555,0.00625620852435,1.96014049805e-06,8.50874194705e-07,1.44937157931e-08,1.52341186012e-11,0.000658597697356,0.00018598549105,0.00359999998477,
98.5612214285,1.58202897602,0.007146119318,2.34812735784e-06,1.10737269227e-06,2.06453487333e-08,2.39303480771e-11,0.000658868135518,0.000198379330721,0.00383999997607,
98.4720602071,1.67964098006,0.0080945935072,2.77667470096e-06,1.41400437993e-06,2.86503398161e-08,3.63175573171e-11,0.00065904013419,0.000210771313343,0.00407999996368,
98.3829881469,1.77710525568,0.00910153625751,3.24643801578e-06,1.77584139815e-06,3.8870541323e-08,5.35077612068e-11,0.000659149525345,0.000223161075951,0.00431999994649,
98.2940051587,1.87442198067,0.0101668528511,3.75797509245e-06,2.19800700054e-06,5.17043107208e-08,7.68300860006e-11,0.000659219098119,0.000235548218859,0.00455999992317,
98.2051111536,1.97159133264,0.0112904486869,4.31175912658e-06,2.68566209225e-06,6.75868588183e-08,1.07852672433e-10,0.000659263346404,0.000247932305289,0.00479999989215,
98.1163060424,2.068613489,0.0124722292798,4.90819006705e-06,3.24399362166e-06,8.69905002509e-08,1.48404787724e-10,0.000659291488313,0.000260312861095,0.0050399998516,
98.0275897364,2.16548862694,0.0137121002613,5.54760444316e-06,3.87820457683e-06,1.10424819772e-07,2.00599087875e-10,0.000659309386567,0.000272689374581,0.0052799997994,
97.9389621466,2.2622169235,0.0150099673791,6.23028387496e-06,4.59350537107e-06,1.38436766016e-07,2.66853979737e-10,0.000659320769857,0.00028506129638,0.00551999973315,
97.8504231845,2.3587985555,0.0163657364966,6.95646244314e-06,5.39510643143e-06,1.71610682843e-07,3.49916039347e-10,0.000659328009629,0.000297428039401,0.00575999965008,
97.7619727613,2.45523369955,0.0177793135933,7.7263330714e-06,6.28821182825e-06,2.10568286997e-07,4.52882449053e-10,0.000659332614124,0.000309788978831,0.00599999954712,
97.6736107885,2.55152253209,0.0192506047644,8.54005305353e-06,7.27801380618e-06,2.55968599661e-07,5.79223421251e-10,0.000659335542583,0.000322143452177,0.00623999942078,
97.5853371777,2.64766522936,0.0207795162207,9.39774883985e-06,8.36968809539e-06,3.08507838458e-07,7.32804581047e-10,0.000659337405083,0.000334490759357,0.0064799992672,
97.4971518406,2.7436619674,0.0223659542887,1.02995201823e-05,9.56838989812e-06,3.68919275566e-07,9.17909284122e-10,0.000659338589633,0.000346830162815,0.00671999908209,
97.4090546887,2.83951292206,0.0240098254099,1.12454437239e-05,1.08792504597e-05,4.37973066863e-07,1.13926084946e-09,0.000659339343006,0.000359160887672,0.00695999886074,
97.321045634,2.93521826899,0.0257110361413,1.22355761075e-05,1.23073741454e-05,5.16476056351e-07,1.40204468958e-09,0.000659339822152,0.000371482121899,0.00719999859796,
97.2331245884,3.03077818367,0.0274694931549,1.32699566678e-05,1.38578359549e-05,6.05271559529e-07,1.71193032339e-09,0.000659340126889,0.00038379301651,0.00743999828807,
97.1452914638,3.12619284135,0.0292851032378,1.43486097624e-05,1.55356794161e-05,7.05239128907e-07,2.07509325911e-09,0.000659340320701,0.000396092685778,0.00767999792491,
97.0575461723,3.2214624171,0.0311577732919,1.5471546791e-05,1.73459148053e-05,8.17294304403e-07,2.49823673645e-09,0.000659340443966,0.000408380207459,0.00791999750176,
