Wed Jul 22 01:26:52 2015    server_profile

         6002727 function calls (5995221 primitive calls) in 24.428 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    73/65    0.093    0.001    0.112    0.002 {built-in method load_dynamic}
        4    0.000    0.000    0.109    0.027 /usr/lib/python3.4/site-packages/matplotlib/spines.py:159(cla)
    16/12    0.000    0.000    0.109    0.009 /usr/lib/python3.4/site-packages/matplotlib/axis.py:1657(_get_tick)
      400    0.070    0.000    0.106    0.000 /usr/lib/python3.4/site-packages/matplotlib/markers.py:182(_recache)
        1    0.000    0.000    0.104    0.104 /usr/lib/python3.4/site-packages/scipy/stats/_distn_infrastructure.py:5(<module>)
        1    0.000    0.000    0.098    0.098 /usr/lib/python3.4/site-packages/matplotlib/backend_bases.py:28(<module>)
        1    0.000    0.000    0.096    0.096 /usr/lib/python3.4/site-packages/numpy/lib/type_check.py:3(<module>)
       11    0.000    0.000    0.096    0.009 /usr/lib/python3.4/site-packages/matplotlib/artist.py:1322(kwdoc)
        1    0.000    0.000    0.095    0.095 /usr/lib/python3.4/site-packages/numpy/core/__init__.py:1(<module>)
1260/1208    0.053    0.000    0.093    0.000 {built-in method __build_class__}
        1    0.000    0.000    0.091    0.091 /usr/lib/python3.4/site-packages/matplotlib/figure.py:12(<module>)
      481    0.008    0.000    0.090    0.000 <frozen importlib._bootstrap>:2147(_find_spec)
 1132/835    0.010    0.000    0.090    0.000 /usr/lib/python3.4/inspect.py:1895(_signature_internal)
   136/96    0.001    0.000    0.088    0.001 /usr/lib/python3.4/site-packages/matplotlib/spines.py:389(get_spine_transform)
   144/96    0.000    0.000    0.087    0.001 /usr/lib/python3.4/site-packages/matplotlib/spines.py:142(_ensure_position_is_set)
        8    0.000    0.000    0.087    0.011 /usr/lib/python3.4/site-packages/matplotlib/spines.py:349(set_position)
       11    0.002    0.000    0.086    0.008 /usr/lib/python3.4/site-packages/matplotlib/artist.py:1036(pprint_setters)
      200    0.000    0.000    0.085    0.000 /usr/lib/python3.4/site-packages/matplotlib/markers.py:206(set_fillstyle)
   240000    0.085    0.000    0.085    0.000 /home/lipastomies/git/igem/modeling/2015/particle_model/objects_revised.py:62(getPosition)
      100    0.000    0.000    0.081    0.001 /usr/lib/python3.4/site-packages/matplotlib/markers.py:148(__init__)
    16/14    0.000    0.000    0.081    0.006 /usr/lib/python3.4/site-packages/matplotlib/axis.py:389(_get_tick1line)
    16/14    0.000    0.000    0.081    0.006 /usr/lib/python3.4/site-packages/matplotlib/axis.py:404(_get_tick2line)
        1    0.000    0.000    0.079    0.079 /usr/lib/python3.4/site-packages/scipy/optimize/__init__.py:171(<module>)
