Wed Jul 22 01:14:38 2015    server_profile

         1013272 function calls (1005766 primitive calls) in 4.904 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.104    0.104 /usr/lib/python3.4/site-packages/scipy/stats/_distn_infrastructure.py:5(<module>)
        1    0.000    0.000    0.099    0.099 /usr/lib/python3.4/site-packages/matplotlib/backend_bases.py:28(<module>)
       11    0.000    0.000    0.097    0.009 /usr/lib/python3.4/site-packages/matplotlib/artist.py:1322(kwdoc)
        1    0.000    0.000    0.096    0.096 /usr/lib/python3.4/site-packages/numpy/lib/type_check.py:3(<module>)
1260/1208    0.053    0.000    0.095    0.000 {built-in method __build_class__}
        1    0.000    0.000    0.094    0.094 /usr/lib/python3.4/site-packages/numpy/core/__init__.py:1(<module>)
        1    0.000    0.000    0.092    0.092 /usr/lib/python3.4/site-packages/matplotlib/figure.py:12(<module>)
 1132/835    0.010    0.000    0.090    0.000 /usr/lib/python3.4/inspect.py:1895(_signature_internal)
      200    0.002    0.000    0.089    0.000 /usr/lib/python3.4/site-packages/matplotlib/markers.py:229(set_marker)
      481    0.008    0.000    0.088    0.000 <frozen importlib._bootstrap>:2147(_find_spec)
       11    0.002    0.000    0.086    0.008 /usr/lib/python3.4/site-packages/matplotlib/artist.py:1036(pprint_setters)
      100    0.000    0.000    0.081    0.001 /usr/lib/python3.4/site-packages/matplotlib/markers.py:148(__init__)
    16/14    0.000    0.000    0.081    0.006 /usr/lib/python3.4/site-packages/matplotlib/axis.py:389(_get_tick1line)
        1    0.000    0.000    0.079    0.079 /usr/lib/python3.4/site-packages/scipy/optimize/__init__.py:171(<module>)
      835    0.019    0.000    0.078    0.000 /usr/lib/python3.4/inspect.py:2379(from_function)
       11    0.007    0.001    0.078    0.007 /usr/lib/python3.4/site-packages/matplotlib/artist.py:957(_get_setters_and_targets)
    24000    0.045    0.000    0.078    0.000 /home/lipastomies/git/igem/modeling/2015/particle_model/vector2.py:27(__add__)
        1    0.000    0.000    0.077    0.077 /usr/lib/python3.4/site-packages/matplotlib/axes/__init__.py:1(<module>)
        1    0.000    0.000    0.077    0.077 /usr/lib/python3.4/site-packages/matplotlib/axes/_subplots.py:1(<module>)
      476    0.001    0.000    0.074    0.000 <frozen importlib._bootstrap>:1934(find_spec)
        1    0.000    0.000    0.074    0.074 /usr/lib/python3.4/site-packages/scipy/special/__init__.py:582(<module>)
      476    0.004    0.000    0.073    0.000 <frozen importlib._bootstrap>:1902(_get_spec)
        1    0.000    0.000    0.071    0.071 /usr/lib/python3.4/site-packages/matplotlib/backends/__init__.py:18(pylab_setup)
        1    0.000    0.000    0.070    0.070 /usr/lib/python3.4/site-packages/matplotlib/backends/backend_qt4agg.py:3(<module>)
        1    0.000    0.000    0.068    0.068 /usr/lib/python3.4/site-packages/matplotlib/backends/backend_qt5agg.py:3(<module>)
       99    0.005    0.000    0.067    0.001 /usr/lib/python3.4/site-packages/scipy/stats/_distn_infrastructure.py:619(_construct_argparser)
    48460    0.067    0.000    0.067    0.000 /home/lipastomies/git/igem/modeling/2015/particle_model/vector2.py:20(__init__)
      221    0.002    0.000    0.067    0.000 /usr/lib/python3.4/re.py:277(_compile)
       88    0.001    0.000    0.065    0.001 /usr/lib/python3.4/sre_compile.py:563(compile)
       82    0.000    0.000    0.065    0.001 /usr/lib/python3.4/re.py:221(compile)
        1    0.003    0.003    0.064    0.064 /usr/lib/python3.4/site-packages/matplotlib/backends/backend_qt5.py:1(<module>)
      727    0.017    0.000    0.064    0.000 <frozen importlib._bootstrap>:2016(find_spec)
        1    0.000    0.000    0.061    0.061 /usr/lib/python3.4/site-packages/scipy/optimize/_root.py:7(<module>)
        1    0.000    0.000    0.060    0.060 /usr/lib/python3.4/site-packages/scipy/special/basic.py:5(<module>)
        1    0.000    0.000    0.059    0.059 /usr/lib/python3.4/site-packages/scipy/optimize/nonlin.py:110(<module>)
      964    0.059    0.000    0.059    0.000 /usr/lib/python3.4/site-packages/scipy/stats/_distn_infrastructure.py:763(_argcheck)
        1    0.000    0.000    0.059    0.059 /usr/lib/python3.4/site-packages/matplotlib/backends/qt_editor/figureoptions.py:8(<module>)
        1    0.000    0.000    0.058    0.058 /usr/lib/python3.4/site-packages/scipy/special/orthogonal.py:79(<module>)
        1    0.000    0.000    0.058    0.058 /usr/lib/python3.4/site-packages/matplotlib/backends/qt_editor/formlayout.py:34(<module>)
        1    0.000    0.000    0.057    0.057 /usr/lib/python3.4/site-packages/scipy/linalg/__init__.py:155(<module>)
        1    0.000    0.000    0.057    0.057 /usr/lib/python3.4/urllib/request.py:68(<module>)
        1    0.001    0.001    0.057    0.057 /usr/lib/python3.4/site-packages/matplotlib/backends/qt_compat.py:2(<module>)
        1    0.000    0.000    0.056    0.056 /usr/lib/python3.4/site-packages/numpy/testing/__init__.py:7(<module>)
        1    0.001    0.001    0.056    0.056 /usr/lib/python3.4/site-packages/matplotlib/backends/backend_qt5.py:452(__init__)
        1    0.053    0.053    0.053    0.053 {built-in method statusBar}
        1    0.000    0.000    0.051    0.051 /usr/lib/python3.4/site-packages/matplotlib/axes/_axes.py:1(<module>)
        1    0.000    0.000    0.049    0.049 /usr/lib/python3.4/http/client.py:67(<module>)
      835    0.005    0.000    0.049    0.000 /usr/lib/python3.4/inspect.py:2328(__init__)
        1    0.000    0.000    0.048    0.048 /usr/lib/python3.4/site-packages/matplotlib/widgets.py:10(<module>)
        1    0.000    0.000    0.046    0.046 /usr/lib/python3.4/site-packages/matplotlib/textpath.py:3(<module>)
        1    0.000    0.000    0.045    0.045 /usr/lib/python3.4/site-packages/matplotlib/contour.py:4(<module>)
      840    0.010    0.000    0.044    0.000 /usr/lib/python3.4/collections/__init__.py:41(__init__)
    16/12    0.000    0.000    0.043    0.004 /usr/lib/python3.4/site-packages/matplotlib/axis.py:1959(_get_tick)
       14    0.000    0.000    0.041    0.003 /usr/lib/python3.4/site-packages/numpy/core/getlimits.py:93(__new__)
        1    0.000    0.000    0.041    0.041 /usr/lib/python3.4/site-packages/scipy/linalg/decomp_schur.py:1(<module>)
        2    0.000    0.000    0.041    0.020 /usr/lib/python3.4/site-packages/numpy/core/getlimits.py:126(_init)
        2    0.000    0.000    0.040    0.020 /usr/lib/python3.4/site-packages/numpy/core/machar.py:97(__init__)
        2    0.011    0.006    0.040    0.020 /usr/lib/python3.4/site-packages/numpy/core/machar.py:113(_do_init)
        1    0.000    0.000    0.039    0.039 /usr/lib/python3.4/email/parser.py:5(<module>)
        1    0.000    0.000    0.038    0.038 /usr/lib/python3.4/email/feedparser.py:20(<module>)
       88    0.001    0.000    0.038    0.000 /usr/lib/python3.4/sre_parse.py:750(parse)
